Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
1971,ARM,JOR,Armenia,Jordan,50,0,0,0,0,0,0
1972,TUR,JOR,TÃ¼rkiye,Jordan,50,0,0,0,0,0,0
1978,ETH,JOR,Ethiopia,Jordan,80,0,0,0,0,0,0
1979,ETH,JOR,Ethiopia,Jordan,120,0,0,0,0,0,0
1980,ETH,JOR,Ethiopia,Jordan,60,0,0,0,0,0,0
1981,ETH,JOR,Ethiopia,Jordan,80,0,0,0,0,0,0
1982,ETH,JOR,Ethiopia,Jordan,100,0,0,0,0,0,0
1983,AFG,JOR,Afghanistan,Jordan,50,0,0,0,0,0,0
1983,ETH,JOR,Ethiopia,Jordan,100,0,0,0,0,0,0
1984,AFG,JOR,Afghanistan,Jordan,150,0,0,0,0,0,0
1984,ETH,JOR,Ethiopia,Jordan,250,0,0,0,0,0,0
1985,AFG,JOR,Afghanistan,Jordan,150,0,0,0,0,0,0
1985,ETH,JOR,Ethiopia,Jordan,250,0,0,0,0,0,0
1989,ETH,JOR,Ethiopia,Jordan,130,0,0,0,0,0,0
1990,ETH,JOR,Ethiopia,Jordan,130,0,0,0,0,0,0
1990,IRQ,JOR,Iraq,Jordan,15,0,0,0,0,0,0
1990,UKN,JOR,Various / unknown,Jordan,495,0,0,0,0,0,0
1991,ETH,JOR,Ethiopia,Jordan,80,0,0,0,0,0,0
1991,IRQ,JOR,Iraq,Jordan,310,0,0,0,0,0,0
1991,SOM,JOR,Somalia,Jordan,0,0,0,0,0,0,0
1991,UKN,JOR,Various / unknown,Jordan,50,0,0,0,0,0,0
1992,BIH,JOR,Bosnia and Herzegovina,Jordan,100,0,0,0,0,0,0
1992,IRQ,JOR,Iraq,Jordan,160,0,0,0,0,0,0
1992,UKN,JOR,Various / unknown,Jordan,10,0,0,0,0,0,0
1993,BDI,JOR,Burundi,Jordan,6,0,0,0,0,0,0
1993,BIH,JOR,Bosnia and Herzegovina,Jordan,388,0,0,0,0,0,0
1993,IRQ,JOR,Iraq,Jordan,62,0,0,0,0,0,0
1993,KWT,JOR,Kuwait,Jordan,9,0,0,0,0,0,0
1994,ARM,JOR,Armenia,Jordan,9,0,0,0,0,0,0
1994,BDI,JOR,Burundi,Jordan,7,0,0,0,0,0,0
1994,BIH,JOR,Bosnia and Herzegovina,Jordan,265,0,0,0,0,0,0
1994,IRQ,JOR,Iraq,Jordan,269,0,0,0,0,0,0
1994,KWT,JOR,Kuwait,Jordan,9,0,0,0,0,0,0
1994,SOM,JOR,Somalia,Jordan,9,0,0,0,0,0,0
1994,SDN,JOR,Sudan,Jordan,6,0,0,0,0,0,0
1995,EGY,JOR,Egypt,Jordan,5,0,0,0,0,0,0
1995,ARM,JOR,Armenia,Jordan,9,0,0,0,0,0,0
